,2021 Jan,,,,2021 Feb,,,,2021 Mar,,,,2021 Apr,,,,2021 May,,,,2021 Jun,,,,2021 Jul,,,,2021 Aug,,,,2021 Sep,,,,2021 Oct,,,,2021 Nov,,,,2021 Dec,,,,2022 Jan,,,,2022 Feb,,,,2022 Mar,,,,2022 Apr,,,,2022 May,,,,2022 Jun,,,,2022 Jul,,,,2022 Aug,,,,2022 Sep,,,,2022 Oct,,,,2022 Nov,,,,2022 Dec,,,
MP,10,514,0,8,11,544,0,8,15,604,0,8,6,806,0,10,17,695,0,8,2,732,0,8,7,932,0,10,39,857,0,8,39,1280,0,10,23,1133,1,11,313,1722,0,12,2481,9983,10,35,1479,15951,10,82,4701,29290,4,98,1800,52831,6,155,198,44845,1,135,70,45234,0,136,496,57649,1,171,744,48993,2,142,477,51596,3,156,121,65759,0,200,38,52792,1,164,13,52873,0,164,113,66320,0,205
MS,55617,997633,1170,21883,23220,1142366,688,25654,11733,1199348,376,27503,7734,1540911,212,35587,5705,1259814,108,29034,3228,1276346,89,29427,19662,1641312,139,37318,80220,1541171,651,31403,67119,2330060,1408,45317,16373,1993362,471,39694,8966,2036019,202,40793,26220,2617751,178,51776,166746,2552604,335,42529,82341,3082140,1179,46349,6488,3964241,443,61416,2822,3185441,43,49701,8551,3207635,27,49833,26412,4097890,50,62453,40053,3427213,113,50305,32640,3572591,137,50905,22560,4607477,146,64259,5600,3724289,56,51806,5124,3745174,66,52048,16956,4736297,63,65330
MT,11314,354509,250,4373,6698,388535,150,5295,4421,407714,81,5578,4824,532702,136,7564,2973,442113,41,6374,1947,451012,51,6558,2487,573250,48,8416,8388,482109,69,6964,25547,690890,228,9404,24260,660916,320,8715,15594,738674,290,9980,7382,971746,293,14159,35996,859793,84,11795,31218,1022762,165,12315,8268,1356380,93,16114,1240,1092948,107,13122,3715,1103186,47,13540,9646,1415170,45,17181,9455,1172303,24,13836,7570,1205972,32,13948,6563,1540473,19,17561,3833,1253064,54,14264,3541,1266910,23,14342,4949,1605745,23,18058
NC,196939,2714344,2793,38709,103053,3271599,1523,47214,47528,3513162,466,50254,61944,4659689,394,64693,31174,3915597,340,53273,12126,3985736,171,54246,38538,5084064,220,68612,141750,4477169,915,57169,214108,6590525,2436,81111,73899,5784441,1219,72051,49482,5994994,557,75076,155857,7950469,817,97058,726794,8457822,1985,83439,204436,10246310,2224,93054,28558,13129574,789,122780,30516,10599138,153,99488,90467,10860479,134,100056,112228,14136601,148,125734,115912,11744079,277,101582,115793,12237911,359,103018,99943,15806260,680,132069,38573,12900609,428,107615,31058,13032541,391,109128,48316,16496057,283,137726
ND,4655,382319,72,5585,2380,394569,29,5755,2470,403968,21,5849,5156,525847,26,7415,2625,435979,18,6024,828,441431,16,6098,803,554904,11,7677,4257,454264,17,6195,15734,621286,62,7951,14987,564669,153,6835,13457,619866,110,7375,12763,840051,138,9914,44203,784483,95,8292,20492,932631,92,8686,2365,1195597,50,11205,1043,961048,19,9079,2630,968657,9,9122,5621,1233049,18,11477,6514,1011346,21,9253,7079,1040199,29,9370,5753,1331091,34,11855,3605,1082591,10,9573,3598,1096802,13,9621,4533,1391403,17,12083
NE,23837,715393,242,9642,11048,776260,73,10150,7939,810352,55,10385,11141,1062373,66,13279,3385,876464,46,10837,984,882625,9,10940,3738,1113594,63,13850,12329,926008,122,11489,25414,1262802,222,15232,17032,1092226,164,12998,24105,1176101,245,13806,32466,1614205,303,18744,103791,1584507,303,16165,25798,1842690,126,17025,3624,2341200,20,21494,2297,1882273,11,17243,6137,1900001,10,17290,14072,2428264,26,21703,15181,2004251,24,17472,12219,2059935,14,17548,9779,2629663,133,22181,4643,2126987,26,18171,7547,2152740,102,18440,13945,2747823,32,23372
NH,20321,225963,265,3657,10695,282191,151,4497,7263,314343,71,4792,12884,447894,69,6319,4065,389422,49,5316,896,396349,23,5443,1099,499534,17,6897,5418,413502,22,5586,13837,567245,71,7249,12721,512763,65,6085,23270,584676,139,6529,40945,899659,267,9135,71144,956687,223,8327,27901,1151795,195,9210,6682,1503291,84,12125,6810,1223251,25,9861,14133,1270835,51,10022,8557,1645242,54,12813,5951,1342119,41,10436,5356,1365086,29,10566,6661,1734684,51,13395,6497,1415595,34,10883,4135,1436543,69,11143,6474,1820553,46,14179
NJ,153242,2480363,2268,81569,98849,2969041,1857,89652,102550,3348956,1215,95554,115187,4788105,1216,125093,21848,4040440,651,103778,6851,4077401,250,105325,14153,5141734,178,132615,43925,4242736,208,106803,72343,5617514,605,135693,40958,4717863,529,110907,45158,4875488,379,112671,256995,6724492,659,143326,590031,7738156,2062,120285,75806,8567227,1771,128222,37148,10921073,425,165567,53705,8916254,186,133334,118464,9279220,240,134220,114332,12216517,385,169435,97654,10175285,214,136655,79379,10541610,237,137580,73859,13524733,245,173205,51495,11076744,135,139277,48322,11275096,208,139965,84175,14417409,384,176462
NM,29861,645985,762,11656,12732,719553,459,14017,6493,752563,250,15364,6941,972014,141,19954,5357,803067,206,16549,2561,816648,78,17197,4553,1036042,75,21848,17952,878667,81,17801,24381,1214372,300,23262,20838,1058658,239,19732,35236,1174631,283,20758,39740,1666467,519,27870,112231,1635736,528,24568,49642,1997092,494,26665,8039,2577476,404,35517,4071,2080614,210,29623,10426,2108900,266,30511,30551,2746946,197,39340,26014,2314579,296,32325,19201,2406580,162,33290,10119,3074334,177,42516,8043,2490969,68,34423,16466,2543638,71,34711,15730,3266290,91,43757
NV,51278,1030394,1071,14888,18186,1147953,786,18647,9668,1193676,283,20404,12748,1545066,245,26745,8774,1281767,122,22117,7113,1309828,84,22497,23381,1712408,220,28786,30373,1489931,502,24673,35999,2032886,731,34019,17337,1725284,492,29694,17274,1793400,372,31324,26604,2341104,435,41178,155371,2274259,430,34592,36811,2669659,737,37336,33242,3477104,518,49696,5526,2839692,660,42071,16169,2883313,121,43272,38250,3754786,167,54843,52342,3166097,182,44625,13118,3312406,154,45282,15173,4208900,126,57223,5626,3402616,54,46145,8788,3433456,69,46374,14369,4354909,127,58420
NY,247347,2796897,3404,58825,118834,3462028,2014,69549,94919,3851268,743,73943,116130,5371698,712,95912,34201,4555899,328,78716,7786,4617965,171,79528,12419,5809658,55,99837,56093,4802238,236,80443,112465,6453568,738,103233,87707,5575678,712,85600,115753,5962334,699,88472,320152,8492453,1512,116095,656757,9313973,2122,100517,106772,10396340,1301,107836,44487,13248947,373,137932,93745,10886658,214,111237,148866,11425659,437,112651,88317,14843243,369,142879,77568,12185364,263,115436,70759,12493769,297,116644,81120,15974536,337,147351,62948,13080813,390,119376,50478,13301890,404,121057,85285,16961683,545,153539
NYC,158335,2095549,1632,103669,123125,2656046,2249,112224,110568,3103303,1815,120315,107800,4453082,1690,158965,23449,3771347,744,131694,6765,3815552,231,133220,17064,4817408,137,167269,50566,4013185,223,134528,60499,5301290,486,169989,34969,4431315,304,137679,31958,4549579,253,138723,318109,6300413,532,175213,757376,8147775,2614,146865,60387,9089105,1761,156832,31269,11519258,398,199858,58053,9410541,107,160562,106492,9755949,182,161138,115559,12770865,369,202922,116816,10679552,314,163658,87659,11093117,433,165275,70161,14224376,432,208742,55442,11628551,393,169173,68163,11883283,293,172026,121177,15337876,676,217726
OH,187536,3263173,3535,63300,81723,3740455,1569,72445,44663,3954444,617,76002,64315,5221756,616,97725,30595,4359032,443,80379,10121,4426203,262,81707,15720,5584297,172,103052,67057,4644872,541,83805,214964,6589350,2289,112134,124373,5965647,2291,99897,128316,6422573,1770,107490,315592,9115519,3924,148995,565141,9339867,3935,135933,107514,10503466,1559,146228,21316,13317280,797,187484,18632,10719168,568,152817,55251,10872747,217,154019,87651,13988973,193,193277,87138,11525866,203,155611,107744,11952422,324,156643,105535,15469683,448,197810,41730,12633142,333,159826,54384,12818259,391,161070,66762,16302671,374,203255
OK,92495,1394446,935,11950,42250,1642499,875,15900,15400,1730403,586,18865,10195,2219458,1932,31792,4859,1803760,508,27912,3919,1818927,93,29369,20640,2326130,102,37140,57870,2046835,327,30605,76963,2927091,1137,42302,30477,2529468,1761,39848,19858,2616246,169,43508,38578,3421061,666,55051,230235,3284074,498,47292,85906,4011892,949,50367,14429,5134727,897,67680,6828,4143079,323,56447,7369,4170427,206,57397,20149,5279613,51,72239,38342,4352305,87,58020,45972,4534936,88,58431,42123,5887580,142,73736,13055,4802929,154,59541,12278,4850645,76,59968,26522,6159658,84,76412
OR,27803,524538,456,7022,13995,598395,270,8372,8325,637250,174,9274,20533,865396,122,12221,16868,778002,149,10309,7549,818958,120,10895,10356,1061139,89,14045,45475,969970,238,11852,65020,1521916,685,17548,34376,1401851,563,16585,24925,1515517,782,19189,30848,2021369,524,27241,187030,2091899,408,23520,85117,2685800,471,25420,13359,3500593,620,34536,14791,2845652,359,29590,38579,2965007,109,30240,52617,3940989,200,38592,38219,3337076,254,31764,25912,3462132,304,33117,20819,4431389,196,42439,13405,3615386,119,34536,12537,3662384,144,35080,18585,4662891,138,44601
PA,186677,3060442,5317,77063,101752,3589865,2626,92234,77703,3900155,1076,98442,148667,5485007,1276,128287,56844,4783171,973,107444,13244,4886131,456,110018,12183,6152626,220,138978,55025,5067077,297,112093,147161,6874536,1192,143904,125798,6083013,1867,122002,140541,6582970,1900,129732,289361,9314338,3439,175233,611809,9615599,3535,154522,142458,10868194,2918,168688,30874,13853315,1190,219329,32587,11191515,356,177744,95430,11463549,486,179256,93129,14848534,560,227060,81904,12198102,463,183574,84350,12546216,428,185353,86712,16104051,638,234424,50590,13145217,495,189753,45129,13338318,637,192111,66075,16943420,621,243266
PR,16250,345988,298,6800,7079,389748,215,7719,5348,411236,87,8312,25703,591869,193,10975,7543,545086,193,9710,1587,557278,55,10120,5161,708907,33,12804,22110,630849,209,10725,14115,885653,363,15164,3691,735014,79,12826,3137,747267,38,13016,55602,1014737,29,16403,205355,1559914,459,14062,23568,1868602,334,16014,7975,2385791,78,20744,42345,1996092,29,16736,124281,2400720,135,17072,121597,3609901,231,22320,72462,3255210,180,18697,68998,3546647,182,19407,42615,4704116,206,25245,24344,3872645,114,20823,27516,3975497,94,21192,44765,5153455,182,27244
PW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,10,0,0,2,10,0,0,3,29,0,0,3,37,0,0,0,40,0,0,2,52,0,0,889,1143,0,0,2795,12198,6,11,328,19646,0,30,462,16957,0,24,534,19428,0,24,187,25756,0,30,13,20848,0,24,59,21000,0,24,181,27086,0,30,49,21940,1,26,175,22299,0,28,284,29537,2,41
RI,24876,393070,392,8670,11446,458339,195,9789,9021,495398,102,10267,12734,675581,60,13180,4149,571540,39,10753,844,578583,18,10847,1195,726981,12,13619,6144,598130,21,10955,10811,792979,86,13995,7002,670424,41,11451,8674,698845,38,11585,30644,975048,147,14941,107276,1108374,213,12748,20480,1331146,129,13501,5924,1703392,118,17214,8291,1391221,10,14108,18509,1448564,33,14208,12665,1892508,44,17970,7196,1547655,21,14486,7183,1577340,6,14530,8349,2008899,31,18268,6276,1637059,19,14710,4660,1658005,55,14867,8656,2104534,29,18784
RMI,0,16,0,0,0,16,0,0,0,16,0,0,0,20,0,0,0,16,0,0,0,16,0,0,0,20,0,0,0,16,0,0,0,20,0,0,0,16,0,0,0,16,0,0,0,20,0,0,0,16,0,0,0,16,0,0,0,20,0,0,13,40,0,0,0,68,0,0,1,89,0,0,41,211,0,0,13873,20794,14,24,1373,75822,3,85,70,61430,0,68,126,61648,0,68,43,77714,0,85
SC,123756,1525687,1420,24490,81813,1925347,1730,31652,34888,2128501,656,35385,32708,2823204,414,46485,15194,2348744,218,38456,4009,2378888,105,39028,17190,3013332,102,49248,89861,2652777,463,40435,151981,4016511,2015,57449,40049,3534846,1232,52849,20042,3630519,549,55937,45229,4681950,457,72133,368255,4698398,546,59747,128548,5724901,1458,64648,11136,7326986,973,86639,6140,5886663,180,70849,21488,5942925,138,71511,50644,7625959,128,89912,58759,6326392,156,72418,55855,6569997,56,72895,47054,8470180,120,91574,13619,6868008,213,73963,13658,6922131,128,74677,34708,8765456,128,93894
SD,8890,419503,274,6526,4196,440706,124,7295,4545,458093,60,7631,6045,601025,39,9729,1666,494467,42,7960,403,497350,26,8097,758,624141,15,10198,4641,509617,16,8220,14683,693526,74,10485,9227,601662,96,8777,10516,640708,90,9145,14103,863942,154,12073,44487,817962,148,10235,12636,930039,161,10895,1587,1183409,99,14285,708,949956,28,11597,1891,955629,15,11670,4820,1211765,13,14661,5763,992053,18,11788,5969,1016016,28,11899,5116,1297750,37,15047,2816,1052704,38,12187,3502,1065440,37,12327,4167,1352778,22,15554
TN,133878,2683876,2505,33402,53624,2990843,1945,42997,34767,3142443,492,46404,41452,4116516,386,60010,18065,3410944,234,49137,6398,3450439,131,49807,26211,4376186,195,63001,122385,3828792,579,51987,214213,5783424,1845,71481,50725,5053744,1178,63602,32654,5190572,658,66819,100830,6777023,3817,93938,413942,6629489,1530,86311,176342,7853308,2052,94278,17891,10073823,1158,125393,8099,8097606,626,103927,23812,8162402,231,104987,62693,10435281,250,132713,73699,8635669,324,107272,82267,8944413,366,108669,64942,11584928,439,137845,21507,9396573,310,111866,27161,9496084,224,112777,44882,12045175,264,142235
TX,565586,8277398,8444,132190,314923,10047368,6835,164627,142607,10759256,4515,185825,119493,14027910,2297,246679,61828,11574724,1170,203598,40838,11758091,797,207307,113562,15025891,927,263066,413274,13249943,2891,217894,535499,19128871,9279,306253,165879,16532415,5701,276200,93826,16969979,2707,290686,234504,21908405,1986,373832,1545993,21726799,3232,309397,510374,25830426,5458,329159,140082,33269640,2892,431909,70117,27008172,637,350442,95257,27326818,270,351959,258018,35060802,331,441261,328219,29331573,519,354856,269153,30553067,811,357809,192970,39313888,754,451099,55468,31836863,387,362990,52865,32033434,248,364155,140402,40543951,434,456813
UT,66722,1278786,362,5911,27937,1439038,259,7159,14150,1511442,205,8070,13795,1955580,108,10803,8559,1608679,100,9040,7470,1637811,44,9286,17598,2109779,99,12009,26955,1785058,166,10141,49701,2433283,316,13841,39394,2124190,259,12293,43542,2293266,292,13453,43691,3077718,323,18409,228454,3053893,308,15916,59077,3635921,297,17138,7226,4631181,316,22913,4278,3721780,30,18940,15524,3763606,25,19048,33552,4837668,49,23980,27643,3997273,67,19432,17094,4083444,69,19717,11873,5169483,58,24950,6969,4169358,29,20116,12663,4209482,49,20287,16584,5343233,87,25713
VA,144193,1734021,1245,22867,80209,2174564,1581,28371,39778,2375507,2319,39296,48355,3194117,588,52466,16431,2674721,378,43824,4985,2707040,226,44975,13820,3423639,193,57179,55526,2890412,197,46443,116027,4088791,984,61088,57686,3612601,1103,53623,39354,3780617,798,57309,126697,5087459,934,75324,415266,5424662,512,63216,126564,6391851,2280,69887,35467,8264752,1312,96464,32167,6733035,530,79876,72902,6952254,158,81083,94756,9139485,227,102158,80938,7655787,313,83073,76074,7975178,436,84509,61562,10314071,499,108019,30181,8407922,332,88019,28606,8528405,201,88958,57414,10865129,330,112733
VI,342,8950,1,96,250,10126,1,99,253,11135,0,100,222,15008,2,132,301,13141,0,108,420,14757,3,116,678,20736,6,163,1210,20990,15,172,1014,31665,20,326,451,28134,10,306,318,29467,4,335,1235,39208,3,438,5964,52987,10,371,638,60636,11,423,309,77658,2,548,624,63777,0,444,2992,72393,2,452,1647,102468,5,581,778,85444,2,478,804,88755,2,487,673,114837,1,613,157,93018,1,493,184,93763,0,496,269,118282,3,631
VT,4048,38156,37,676,3383,53162,26,787,3265,65978,20,883,4826,104877,26,1227,1515,94642,10,1042,257,97196,1,1055,366,122627,4,1334,2325,103801,12,1092,5964,151876,46,1516,5797,145974,41,1415,8577,174797,48,1599,14112,278559,63,2258,37504,335800,64,2057,11974,431491,72,2352,4963,570296,34,3193,6092,477380,18,2634,8895,511321,36,2758,4532,670240,27,3604,2091,547076,15,2954,1993,555239,21,3023,2614,705513,21,3888,2520,575018,23,3202,1644,583256,38,3336,1957,737277,25,4318
WA,60901,1143834,251,9281,30875,1309137,461,10731,20837,1398294,577,12689,42444,1907534,989,20439,32500,1685043,588,19483,16351,1773439,238,20786,23114,2300068,248,27112,73986,2057570,198,22593,112274,3075739,275,29426,64284,2798271,172,24407,46613,3012535,523,25793,79829,4027491,1331,37397,397016,4314688,774,34104,166482,5506463,617,36663,43253,7213825,591,48868,39710,5914340,962,42265,73926,6153862,1058,46785,93337,8125206,538,62013,69924,6828520,329,50870,44981,7051263,829,54015,37461,8999472,586,70502,20185,7314064,238,57824,19103,7386195,161,58637,29486,9361853,327,74454
WI,69377,2252743,1109,23443,28657,2422468,630,26918,17044,2500606,331,28665,27395,3238150,272,37027,14607,2675365,232,30778,3721,2703830,312,31999,7991,3401393,202,40986,37435,2826725,133,33373,85002,3844252,456,43336,69765,3415009,502,36671,86009,3706706,551,38831,140525,5218135,1197,52863,382300,5310093,1036,46856,82746,6204229,1001,51439,15930,7896102,1138,69279,22472,6387135,115,57518,57165,6565347,160,58007,60410,8511371,220,73518,48315,7012572,122,59438,49124,7218744,116,59926,42195,9243129,227,75800,28644,7528336,163,61397,26180,7639811,172,62126,39055,9714901,202,78520
WV,33546,428379,632,6934,12622,507223,324,8706,8425,541673,299,9717,13482,735322,98,13211,8483,632113,117,11008,2905,651658,84,11376,2806,825028,67,14566,15412,697074,97,11963,56592,1073805,604,16675,30633,1035617,706,16402,21778,1130249,470,18596,34605,1552421,489,25620,103502,1535183,369,22104,57226,1885686,576,24105,11428,2475640,469,32836,3026,1997015,132,27178,11876,2026956,82,27596,19272,2621774,126,35052,21175,2176630,70,28412,23405,2272191,128,28849,23346,2961862,149,36723,7024,2417581,96,29872,6371,2444062,92,30223,10376,3094286,67,38218
WY,7243,195671,191,2133,2621,212613,74,2603,1897,220969,25,2761,2113,285661,12,3516,1962,236668,12,2854,1815,244514,21,2919,2847,316967,36,3800,7905,275908,59,3223,17437,414760,161,4606,11947,390061,178,4431,8352,430023,173,5235,4978,566476,179,7453,25848,515076,99,6386,13576,608516,93,6724,1417,778755,73,8833,466,625404,21,7216,1312,629043,8,7271,6496,808118,14,9131,5674,671405,22,7384,4182,691495,21,7469,2515,878848,17,9438,1708,711255,14,7617,1990,718470,23,7686,2421,910246,27,9742
