States,Total_vaccinations,Total_distributed,People_vaccinated,People_fully_vaccinated_per_hundred,Total_vaccinations_per_hundred,People_fully_vaccinated,People_vaccinated_per_hundred,Total_boosters_per_hundred,Total_boosters,Share_doses_used,Daily_vaccinations_per_million,Daily_vaccinations,Daily_vaccinations_raw,Distributed_per_hundred
Michigan,245610478,312560380,126672603,1167.21,2459.34,116569814,1268.39,106.73,10658123,17.288,81158,810529,623322,3129.73
Minnesota,201183717,238199690,105281127,1713.32,3567.33,96626650,1866.82,140.98,7951036,24.502,91182,514234,538608,4223.68
Mississippi,83746074,114601945,44182593,1297.62,2813.92,38619342,1484.57,103.62,3084049,21.191,66266,197218,172863,3850.69
Missouri,190110352,235990815,99532210,1420.24,3097.57,87165785,1621.72,155.54,9545506,23.364,78031,478918,514841,3845.1
Montana,33067382,40935685,17320680,1436.71,3093.94,15355131,1620.61,164.3,1755623,23.425,90276,96486,101915,3830.13
Nebraska,65360889,77881220,33787971,1610.77,3378.86,31158553,1746.67,140.99,2727140,24.343,82272,159147,161229,4026.1
Nevada,102137120,121213410,55488934,1506.18,3315.96,46392659,1801.51,151.29,4659580,24.438,76043,234223,234717,3935.31
New Hampshire,53502644,64683070,28731082,1806.34,3934.86,24561217,2113.01,164.9,2242474,23.987,116278,158102,149322,4757.12
New Jersey,345720526,420817475,190174653,1898.7,3892.28,168645424,2141.05,14.87,1320180,23.826,83397,740695,751946,4737.76
New Mexico,16824600,19313060,9049241,372.01,802.39,7800286,431.57,26.73,560366,5.227,30931,64874,51913,921.08
New York State,776434709,892314735,411137726,1894.38,3991.24,368526016,2113.44,146.48,28502677,25.24,84049,1635040,1636610,4586.88
North Carolina,344413677,438534080,188826593,1494.95,3283.82,156792122,1800.39,103.75,10880677,22.781,99007,1038378,997553,4181.28
North Dakota,18596723,23273310,9531113,1083.46,2440.31,8256538,1250.7,201.19,1533142,19.186,76722,58467,54043,3054
Northern Mariana Islands,2068875,2512140,1045948,1759.32,3637.12,1000734,1838.77,80.28,45665,23.883,45341,2579,2637,4416.35
Ohio,363729619,455028935,186812738,1483.47,3111.68,173402937,1598.17,152.18,17787963,23.186,73670,861135,926396,3892.75
Oklahoma,125488322,150584410,66598977,1419.62,3171.29,56174498,1683.07,157.89,6247219,24.165,83190,329181,326528,3805.54
Oregon,157678432,202673455,82638550,1797.67,3738.46,75820953,1959.28,134.61,5677648,22.564,90173,380322,388946,4805.26
Pennsylvania,420104164,498809465,239400785,1478.46,3281.56,189271156,1870.06,62.78,8039864,21.057,96736,1238424,1010403,3896.33
Puerto Rico,140548015,144481420,74793196,2093.26,4400.79,66851807,2341.88,86.71,2769605,28.207,103294,329879,354549,4523.98
Republic of Palau,911910,959610,519184,2530.3,5092.46,453105,2899.36,41.45,7423,27.559,34510,618,498,5358.91
Rhode Island,43874955,51142945,23587135,2023.27,4141.66,21433402,2226.55,41.1,435399,24.883,92798,98310,103418,4827.72
South Carolina,159644646,209796625,84339103,1416.5,3100.67,72931895,1638.09,148.07,7623923,22.073,86965,447751,434068,4074.72
South Dakota,15937201,20406850,8606260,834.97,1801.49,7386869,972.82,52.98,468694,12.505,75385,66690,41461,2306.75
Tennessee,208229799,260388520,106368439,1355.19,3049.13,92549214,1557.55,223.22,15245197,23.193,84472,576875,536699,3812.9
Texas,970149734,1252717055,509140391,1519.48,3345.8,440588676,1755.9,190.89,55346268,22.457,73112,2119910,2156874,4320.31
United States,10984377280,13333549385,5892665864,1534.01,3308.58,5092871773,1774.9,122.02,405086395,22.246,81819,27163575,23393791,4016.18
Utah,103620621,121749920,55915635,1517.57,3232.11,48652389,1744.13,103.05,3303224,24.684,79448,254708,271778,3797.6
Vermont,27189398,32055050,14247900,2042.85,4357.33,12747176,2283.35,231.24,1442872,24.604,114627,71526,73866,5137.12
Veterans Health,169804360,190936580,88354493,,,82561003,,,5200419,25.792,,318897,340039,
Virgin Islands,3077225,3342220,1593703,1331.03,2939.67,1393340,1522.47,125.41,131302,26.699,64837,6787,6648,3192.8
Virginia,328255211,385898895,172825830,1796.91,3845.73,153373130,2024.81,158.68,13543655,24.673,97651,833501,847975,4521.08
Washington,288944073,345335835,151008353,1809.41,3794.46,137786396,1983.06,153.97,11722564,24.269,94464,719328,691614,4535.01
West Virginia,45722639,89045475,25272569,1182.92,2551.27,21199660,1410.16,29.24,524374,14.894,25235,45224,39238,4968.66
Wisconsin,205185622,228049615,104503601,1667.87,3524.05,97110135,1794.82,196.42,11435522,26.104,90717,528194,549188,3916.74
Wyoming,15841135,20343445,8348690,1243.89,2737.08,7199212,1442.52,163.56,946758,22.585,84837,49101,44670,3515
Nov,20129723769,25117464750,10339326736,82297.29,185171.28,8915176762,94722.88,14792.37,1585094597,1221.775,7187221,80436935,56854940,231683.21
Alabama,126144024,190294410,67910918,1135.56,2572.71,55679059,1385.04,127.41,6246831,16.573,79489,389742,324162,3881.01
Alaska,22860127,30860385,11140918,1335.28,3124.92,9768197,1522.93,386.38,2826516,18.518,116351,85115,76455,4218.53
American Samoa,1667561,1786380,884298,1616.47,3456.56,779944,1832.68,36.12,17198,21.506,42327,2028,1783,3701.68
Arizona,229139668,283959650,113773341,1346.91,3148.06,98038323,1563.11,340.43,24779510,20.176,109956,800339,616115,3901.25
Arkansas,84668433,117543650,44612860,1216.66,2805.64,36716314,1478.31,195.49,5899992,18.01,93751,282927,194058,3895
Bureau of Prisons,6241941,7028930,3235812,,,3093481,,,226016,22.2,,18514,12948,
California,1418804277,1684120785,755591180,1555.21,3590.81,614504482,1912.29,246.75,97498553,21.068,137835,5446086,3962226,4262.27
Colorado,203758700,239864745,99794098,1559.69,3538.27,89818618,1732.91,368.68,21230920,21.241,155789,897161,707599,4165.22
Connecticut,142201104,163565565,72472365,1783.61,3988.47,63590673,2032.74,322.08,11483656,21.736,164355,585977,471475,4587.73
Delaware,27000323,35867790,13683785,1209.65,2772.76,11779146,1405.24,264.62,2576882,15.056,109840,106959,154439,3683.42
Dept of Defense,160681624,143039620,87991286,,,67946224,,,11028037,28.084,,370626,286027,
District of Columbia,27965209,34842075,13717786,1586.48,3962.49,11196576,1943.71,559.96,3951726,20.072,142483,100558,75148,4936.89
Federated States of Micronesia,1948901,2404590,1178956,1010.82,1900.96,1036363,1149.94,23.77,24351,18.711,40465,4144,4491,2345.6
Florida,741554372,929893215,377515597,1512.14,3452.66,324774559,1757.71,328.16,70486845,19.939,111022,2384466,1752855,4329.56
Georgia,260164659,365641140,134689587,1073.8,2450.36,114008572,1268.56,167.38,17771342,15.658,82858,879746,684417,3443.78
Guam,6590449,6245620,3335416,1819.33,3921.52,3057376,1984.77,265.36,446222,24.298,109643,18450,15827,3716.8
Hawaii,50758814,67960930,28442733,1508.89,3584.97,21363857,2008.86,162.68,2302853,18.675,75957,107548,79879,4799.92
Idaho,45100228,65954100,22298230,1114.42,2523.71,19915267,1247.75,260.42,4653714,17.1,96020,171592,128562,3690.64
Illinois,202537406,247040160,101235358,730.47,1598.33,92563446,798.9,123.11,15601714,9.842,134654,1706267,883762,1949.52
Indian Health Svc,44916968,58909075,23800776,934.84,2156.55,19470871,1142.74,120.36,2506900,19.062,67183,139933,106049,2828.33
Indiana,187342031,242373550,91972603,1255.74,2782.78,84539541,1366.12,258.02,17370975,19.331,85443,575224,465137,3600.22
Iowa,98908615,125785675,48093062,1402.78,3134.92,44258435,1524.3,326.76,10309361,19.664,143406,452453,449385,3986.78
Kansas,87756357,114220605,46760385,1347.38,3012.25,39254071,1605.06,155.92,4541758,19.214,121180,353034,313107,3920.65
Kentucky,128894482,169089655,65604341,1285.22,2885.06,57419464,1468.43,240.26,10733065,19.058,114434,511249,395148,3784.74
Louisiana,125867049,163558740,63463678,1206.38,2707.53,56081812,1365.18,222.57,10347443,19.242,76720,356651,249815,3518.3
Maine,52398105,63212250,26567330,1785.69,3898.07,24003380,1976.42,363.57,4887040,20.722,194693,261708,239170,4702.55
Marshall Islands,1099685,1552030,613358,714.37,1486.96,528511,830.04,18.55,14032,16.34,42174,3183,2472,2095.68
Maryland,206558962,268381460,103298741,1534.45,3416.63,92767502,1708.63,289.12,17479356,17.701,153062,925370,702144,4439.24
Massachusetts,274698361,319960890,142518812,1759.2,3985.49,121251870,2067.73,286.81,19768571,21.465,168758,1163159,859566,4642.16
Michigan,301945139,393774130,148654031,1350.82,3023.4,134904682,1488.53,280.96,28059864,19.171,123198,1230384,1109462,3942.94
Minnesota,193379284,231038120,94299058,1541.15,3428.93,86916139,1672.08,352.37,19873068,20.927,178358,1005865,888515,4096.67
Mississippi,77259114,108187455,39366074,1159.52,2595.94,34509321,1322.73,178.04,5298352,17.858,74240,220942,200146,3635.13
Missouri,177257342,223805235,89233993,1258.89,2888.11,77262718,1453.93,264.16,16212332,19.804,100545,617089,498351,3646.56
Montana,31470144,39584895,15550365,1279.93,2944.48,13679714,1454.97,324.91,3472751,19.876,129508,138417,115043,3703.75
Nebraska,61398763,75361670,30147982,1419.67,3174.02,27462641,1558.5,301.48,5831818,20.369,127144,245952,241299,3895.82
Nevada,94893243,114974220,49893101,1343.26,3080.81,41374980,1619.79,246.42,7591105,20.637,105230,324128,238276,3732.72
New Hampshire,37860000,47154180,20679088,1205.35,2784.43,16389173,1520.84,160.73,2185421,15.259,134737,183206,147304,3467.96
New Jersey,321932489,404522235,170777567,1676.66,3624.48,148924897,1922.7,157.16,13960902,19.905,132990,1181256,908553,4554.34
New Mexico,74293208,86572455,38856394,1570.61,3543.12,32933014,1853.09,238.14,4993321,21.454,147223,308700,238450,4128.75
New York State,715063783,853058515,369517013,1689.52,3675.76,328674630,1899.48,233.32,45390473,20.961,118472,2304664,1818225,4385.09
North Carolina,323619728,426491030,175805166,1336.29,3085.59,140149879,1676.26,175.93,18452374,18.975,113854,1194118,980034,4066.43
North Dakota,21295782,27518700,10696898,1198.91,2794.52,9136499,1403.67,299.55,2282851,19.345,124558,94923,75396,3611.09
Northern Mariana Islands,1921435,2242640,945174,1671.39,3655.49,878995,1797.91,229.21,119879,19.739,152707,7987,5232,4264.57
Ohio,328681542,421569550,159819963,1258.56,2811.86,147117958,1367.24,290.12,33914250,18.713,122394,1430697,980212,3606.52
Oklahoma,117021861,144282820,60377067,1270.31,2957.36,50266677,1525.84,241.84,9569356,20.286,101762,402666,293479,3646.32
Oregon,147618330,192456925,73528261,1585.81,3499.91,66886085,1743.3,307.29,12962062,19.175,137218,578757,433951,4563.03
Pennsylvania,,,,,,,,,,,98065,1255257,,
Puerto Rico,56904116,59967140,29216429,812.04,1781.78,25934162,914.81,101.45,3240190,10.474,120657,385347,74141,1877.67
Republic of Palau,825762,812860,450841,1887.48,3954.46,393696,2161.51,185.84,39685,23.384,104293,2228,1952,3899.62
Rhode Island,41250539,48773675,21295043,1792.24,3893.94,18986403,2010.17,222.59,2358001,21.144,169343,179393,128685,4604.07
South Carolina,148770151,201863855,75730386,1267.41,2889.45,65255699,1470.88,242.45,12481908,18.427,95248,490396,373244,3920.65
South Dakota,27173380,35863175,14179971,1340.92,3071.61,11862792,1602.88,224.63,1987101,18.941,139436,123355,110613,4053.89
Tennessee,195166044,247164980,94865144,1217.05,2857.84,83113283,1389.12,329.49,22503853,19.743,106887,729939,601792,3619.26
Texas,895382585,1182521795,452827656,1350.32,3087.99,391537563,1561.69,280.64,81374396,18.933,95589,2771689,2151051,4078.23
United States,9655762897,12040500500,4978493133,1290.25,2908.31,4283696622,1499.54,221.77,736319848,17.648,119069,39532223,26502168,3626.58
Utah,96726914,118725470,50013707,1364.23,3017.1,43736873,1560.03,211.67,6786611,20.378,106421,341179,288414,3703.3
Vermont,26212605,31016350,12800500,1801.15,4200.81,11238937,2051.42,525.54,3279390,21.122,233154,145484,113833,4970.67
Veterans Health,156878808,177021690,78991324,,,71905999,,,11539710,22.152,,507610,366285,
Virgin Islands,2836368,2910340,1435841,1185.94,2674.88,1257534,1354.1,171.79,182246,22.453,99629,10577,9361,2744.91
Virginia,310175880,373482665,156060383,1599.86,3633.96,136555976,1828.36,326.16,27838695,20.765,157322,1342816,995120,4375.62
Washington,270463114,334107415,134832371,1606.05,3551.77,122300731,1770.62,311.59,23724574,20.243,134651,1025350,960631,4387.54
West Virginia,40902062,82612615,22940142,1031.97,2282.27,18494275,1280.04,33.38,598138,12.379,56589,101414,97421,4609.68
Wisconsin,194081443,222836985,93300186,1472.81,3333.33,85753120,1602.42,378.25,22022200,21.776,147615,859479,640664,3827.22
Wyoming,15071479,19730795,7548874,1119.48,2604.13,6479161,1304.33,282.76,1636493,19.097,109267,63239,53416,3409.14
Dec,22639875694,27827599470,11090327146,89997.23,215267.11,9436033793,104892.51,27597.06,2863254271,1323.37,8532830,94531699,73110309,263250.82
Alabama,147028211,215405160,76265303,1267.29,2998.63,62136241,1555.41,260.21,12760103,18.43,79065,387688,339047,4393.18
Alaska,26868330,35292065,12659280,1498.2,3672.83,10960058,1730.51,578.92,4235128,20.553,96849,70849,67066,4824.33
American Samoa,1961941,2124430,1044615,1814.96,4139.78,860127,2204.21,152.4,72231,24.936,170241,8068,7262,4482.65
Arizona,271945474,329949120,129471536,1511.14,3736.17,109990950,1778.76,561.48,40868211,22.252,125767,915416,802014,4533.07
Arkansas,99196998,133196710,50261827,1359.91,3287.05,41039781,1665.49,356.73,10765164,20.107,93637,282581,254367,4413.71
Bureau of Prisons,7288617,7950920,3604784,,,3433232,,,606821,24.748,,20039,20680,
California,485296959,571917110,251267909,510.26,1228.2,201619385,635.92,122.49,48394047,6.789,130791,5167713,1824723,1447.45
Colorado,245453499,285207505,113607075,1753.59,4262.27,100985642,1972.75,673.96,38811765,23.234,158646,913606,840746,4952.61
Connecticut,170942343,192869315,83123897,1985.89,4794.61,70801888,2331.46,644.09,22964387,23.929,185744,662233,576900,5409.64
Delaware,36300452,46088820,17483455,1508.91,3727.85,14693317,1795.47,556.02,5414397,18.899,184347,179510,124337,4733.04
Dept of Defense,182145870,161757700,100911339,,,76421120,,,12056773,30.41,,307773,280271,
District of Columbia,33062067,41314575,16207628,1787.86,4684.68,12617759,2296.54,741.88,5235627,21.605,170154,120085,104160,5853.99
Federated States of Micronesia,2052940,2693390,1203438,1046.42,2006.4,1070708,1176.16,73.27,74978,19.056,40606,4155,3893,2632.23
Florida,873793112,1075308685,424260950,1686.88,4068.37,362299369,1975.33,568.07,122012665,21.936,126387,2714434,2583674,5006.62
Georgia,307815411,431575000,153410153,1204.48,2899.17,127886716,1444.89,317.06,33662789,17.116,89963,955183,938728,4064.79
Guam,7706269,7429170,3748161,2008.64,4573.75,3384368,2224.59,506.6,853544,28.009,111588,18801,18011,4409.29
Hawaii,29686442,40011050,16444939,865.72,2096.69,12257553,1161.46,124.51,1762949,10.388,211269,299129,62939,2825.92
Idaho,52994897,76711650,24856556,1236.46,2965.48,22096097,1390.91,449.95,8040730,18.652,80511,143876,133098,4292.61
Illinois,318732790,380822345,151876606,1069.93,2515.27,135575979,1198.52,326.78,41408802,14.226,152715,1935184,1098051,3005.27
Indian Health Svc,52753096,67495835,27165690,1041.88,2532.78,21700488,1304.27,233.29,4859374,21.102,72921,151881,141812,3240.6
Indiana,220571105,286801940,103390396,1387.68,3276.34,93423104,1535.79,460.76,31019138,20.765,109967,740314,723015,4260.16
Iowa,119383611,148407215,54326912,1565.88,3783.85,49404747,1721.9,628.62,19833810,21.717,142716,450271,423207,4703.79
Kansas,104877494,134552745,53316783,1510.35,3599.94,44001117,1830.12,367.32,10701250,21.042,129840,378264,360796,4618.54
Kentucky,153252971,196893055,74137952,1440.86,3430.27,64372733,1659.45,451.17,20154875,21.014,107913,482134,429353,4407.06
Louisiana,146684304,183919330,70936232,1339.28,3155.31,62259881,1525.9,387.16,17997859,21.533,89976,418267,371078,3956.3
Maine,64149340,75452960,30475688,2006.06,4772.26,26965547,2267.17,753.57,10129702,22.952,210289,282672,261080,5613.17
Marshall Islands,1265558,1842760,690368,780.02,1627.95,606405,888.02,43.46,33784,18.545,34408,2675,2246,2370.4
Maryland,269119281,344737270,128429016,1870.02,4451.42,113054030,2124.31,596.24,36046327,21.079,162197,980594,908698,5702.23
Massachusetts,332705152,378595700,164224357,1975.88,4827.07,136187825,2382.68,611.54,42149204,23.723,202928,1398673,1238437,5492.87
Michigan,361910170,468253390,168232669,1507.75,3623.86,150576545,1684.52,539.96,53924974,20.868,129347,1291791,1180280,4688.67
Minnesota,236097669,281933110,107081476,1734.75,4186.4,97833975,1898.73,704.35,39723213,22.613,166018,936295,851099,4999.16
Mississippi,89610128,122722345,44028615,1287.04,3010.94,38303854,1479.38,316.48,9418291,19.715,71165,211797,208111,4123.54
Missouri,210566604,259788105,101417673,1408.97,3430.87,86474558,1652.45,468.57,28757211,21.882,115041,706065,660762,4232.83
Montana,37507025,45867345,17615295,1432.71,3509.35,15312555,1648.16,558.92,5973669,22.076,113795,121622,115431,4291.57
Nebraska,73846961,89023630,34099118,1587.25,3817.54,30703978,1762.79,584.54,11307420,22.393,141472,273668,259333,4602.12
Nevada,111839217,133128230,56518400,1499.97,3630.96,46201674,1834.93,439.66,13543025,22.681,115212,354872,320803,4322.12
New Hampshire,,,,,,,,,,,37200,50592,,
New Jersey,384821089,482114995,195295903,1871.93,4332.5,166268655,2198.75,409.4,36364880,21.55,163694,1453964,1332644,5427.91
New Mexico,89032923,100962085,44609916,1756.74,4246.06,36835821,2127.5,494.19,10362457,23.804,150856,316321,301466,4814.98
New York State,870013729,1011254755,426304852,1898.64,4472.27,369354192,2191.39,546.46,106304784,23.22,221969,4318156,4013690,5198.28
North Carolina,385007249,494076160,207680695,1501.57,3670.89,157487984,1980.16,305.18,32005103,21.037,133799,1403254,1225844,4710.86
North Dakota,26040604,31837740,12439159,1377.05,3417.12,10493864,1632.3,529.92,4038264,22.078,155523,118516,113499,4177.82
Northern Mariana Islands,2414982,2927150,1133535,1980.85,4657.54,1027099,2186.13,546.42,283325,22.275,284392,14746,13621,5645.27
Ohio,410551021,515869505,187827517,1466.85,3512.25,171464446,1606.87,559.78,65434832,21.485,127608,1491610,1505860,4413.26
Oklahoma,137901094,166194030,68899532,1420.62,3485.02,56214386,1741.21,413.71,16369634,22.401,109337,432655,392709,4200.04
Oregon,176589905,223651025,82925066,1767.05,4186.81,74529152,1966.11,605.03,25519482,21.319,154702,652497,566419,5302.6
Pennsylvania,139147306,177873555,69508588,445,1086.93,56968720,542.95,136.37,17458787,5.476,107249,1372865,413836,1389.43
Puerto Rico,152818217,167384020,74961421,2041,4785.03,65182370,2347.2,512.27,16359871,24.646,157573,503240,512443,5241.06
Republic of Palau,955353,966230,502608,2006.03,4436.89,431935,2334.23,389.94,83971,26.713,131431,2830,2799,4487.46
Rhode Island,49978427,58300955,24607811,2020.92,4717.79,21409066,2322.88,519.16,5500021,23.149,194749,206311,183250,5503.4
South Carolina,174669559,233134635,85603756,1413.79,3392.51,72793367,1662.64,418.03,21522371,20.225,102819,529395,461619,4528.02
South Dakota,32677900,41828375,16502773,1511.84,3693.87,13374450,1865.43,426.87,3776424,21.094,129488,114555,106214,4728.19
Tennessee,231122832,286571250,106620184,1363.56,3384.36,93119687,1561.24,546.67,37332777,21.77,110573,755130,717318,4196.3
Texas,1052356110,1369232595,512475236,1511.13,3629.33,438164663,1767.4,467.72,135614891,20.749,115432,3347031,3110805,4722.17
United States,11139650383,13681955535,5490879937,1398.07,3355.24,4641651539,1653.83,414.92,1377617540,18.719,143637,47688920,35296454,4120.96
Utah,116336439,141143950,57174029,1545.6,3628.78,49551846,1783.36,432.84,13876794,22.253,149016,477737,492216,4402.55
Vermont,32125431,36883340,14734304,2036.34,5148.39,12706570,2361.3,948.11,5916227,23.515,214289,133715,112836,5910.87
Veterans Health,182538145,201446660,88656537,,,78337307,,,21704773,24.465,,439910,403283,
Virgin Islands,3381508,3524640,1670734,1345.67,3181.4,1430308,1571.85,310.58,330088,25.902,95365,10136,9626,3316.08
Virginia,372911980,440129685,178240376,1802.61,4368.94,153861393,2088.22,612.25,52260378,22.874,164575,1404729,1185909,5156.46
Washington,323863196,396108255,152755676,1800.81,4253.04,137128031,2006,598.04,45539356,22.074,163562,1245506,1148188,5201.75
West Virginia,14083681,20358040,6500286,316.28,785.86,5668017,362.7,125.75,2253590,4.15,440656,789733,18580,1135.97
Wisconsin,234623410,262199255,105450334,1644.95,4029.63,95776680,1811.11,707.39,41186962,24.157,157309,915906,883830,4503.27
Wyoming,17850913,22631365,8570290,1259.44,3084.35,7288939,1480.8,460.03,2662452,21.295,92542,53561,49843,3910.33
2022,1.74E+11,2.22E+11,78268337738,633058.36,1646726.02,66575153923,740081.72,322807.39,34290932083,8264.7,30438848,321599318,117405592,2082589.08
2023,10773701659,15348637990,4347770042,33165.48,96233.96,3708081721,38819.61,26716.76,2993454561,366.173,1669660,15609051,,136163.51
??,3.73E+11,4.65E+11,1.86E+11,1406960.32,3399451.95,1.53E+11,1687275.66,403554.63,43058611571,24967.789,120746509,1360199001,1060096646,4264882.05
